nom,budget,attractions,restaurants,specialites,conseils,duree_visite,meilleure_saison,dialecte,fetes,artisanat,musique,habitudes,images
Rabat,5000,"Kasbah des Oudayas;Tour Hassan;Mausolée Mohammed V;Musée Oudaya;Jardin Exotique;Chellah","Le Dhow;Dar Naji;La Mamma;Maison Blanche","Couscous Rabati;Pastilla;Briouates","Prévoir 2-3 jours, tram et taxi, visites guidées recommandées","2-3 jours","Printemps/Automne","Darija Rabati","Mawlid;Fête nationale 30 juillet;Festival Mawazine","Tapis;Poterie;Bijoux traditionnels","Andalouse;Fusion moderne","Café culture;Promenades corniche;Thé menthe","https://th.bing.com/th/id/R.dc5462a5f0e4253cc293c5472b8b95a0?rik=ygkC0SM7l%2bUE%2fg&pid=ImgRaw&r=0"
Marrakech,6000,"Jemaa el-Fna;Palais Bahia;Jardin Majorelle;Musée de Marrakech;Saadian Tombs;Medersa Ben Youssef;Palais El Badi","Le Jardin;Nomad;Dar Yacout;Comptoir Darna;La Maison Arabe","Tajine;Pastilla;Harira;Couscous","3-4 jours, protéger du soleil, négocier dans les souks","3-4 jours","Printemps/Automne","Darija Marrakchia","Festival Marrakech du rire;Mawazine;Aid Al Fitr;Aid Al Adha","Tapis;Cuir;Poterie;Bijoux berbères","Gnawa;Chaabi;Andalouse","Souks;Thé menthe;Calèche","https://th.bing.com/th/id/OIP.frJdPw1Vb0TiiFzCRGTf_QHaE8?w=274&h=183&c=7&r=0&o=7&cb=defcache2&dpr=1.3&pid=1.7&rm=3&defcache=2"
Fès,3500,"Medersa Bou Inania;Médina de Fès;Bab Boujloud;Palais Royal;Musée Nejjarine;Tanneries","Riad Rcif;Dar Roumana;Restaurant Nur;The Ruined Garden","Tajine Fassi;Pastilla;Harira;Briouates","Visite guidée recommandée, chaussures confortables","2-3 jours","Printemps/Automne","Darija Fassi","Festival Musiques Sacrées;Aid Al Fitr;Aid Al Adha","Cuir;Poterie;Bois sculpté;Tapis","Andalouse;Gnawa","Promenade médina;Artisanat;Thé menthe","https://th.bing.com/th/id/OIP.rgFs_WHQ_QhHDaC52L2AjQHaD4?o=7&cb=defcache2&rm=3&defcache=1&rs=1&pid=ImgDetMain&o=7&rm=3"
Chefchaouen,3000,"Médina Bleue;Kasbah;Mosquée;Ras El Ma;Outa El Hammam","Cafe Clock;Casa Aladin;Beldi Bab Ssour;Restaurant Sofia","Fromage local;Viandes","Chaussures confortables pour ruelles escarpées","2-3 jours","Printemps/Automne","Darija Châouia","Festival musique;Aid Al Fitr","Tapis;Poterie;Bijoux berbères;Textile","Musique rifaine;Chants berbères","Peinture bleue;Artisanat local;Montagne","https://th.bing.com/th/id/OIP.P3zN10K4v2MJowE9I-4f_wHaE7?w=208&h=139&c=7&r=0&o=7&cb=defcache2&dpr=1.3&pid=1.7&rm=3&defcache=1"
Casablanca,5500,"Mosquée Hassan II;Corniche;Habous;Rick's Cafe;Parc Ligue Arabe;Villa des Arts","Rick's Cafe;La Sqala;Le Cabestan;Restaurant Dhow;Villa Blanche","Couscous;Pastilla;Poissons","1-2 jours, taxi ou tram, visiter la mosquée le matin","1-2 jours","Printemps/Automne","Darija Casaoui","Festival Film Casablanca;Aid Al Fitr;Aid Al Adha","Cuir;Tapis;Bijoux;Poterie","Chaabi;Fusion moderne","Café culture;Shopping;Mer","https://th.bing.com/th/id/OIP.9sXo2n7l8j3m1v0e5qkKQHaE8?w=274&h=183&c=7&r=0&o=7&cb=defcache2&dpr=1.3&pid=1.7&rm=3&defcache=2"
Agadir,4500,"Plage;Souk El Had;Vallée des Oiseaux;Kasbah Oufella;Marina","Pure Passion;Le Jardin d'Eau;La Scala;Le Floreal","Poissons;Tajine;Pastilla","Profiter plage, excursion vallée des oiseaux","2-3 jours","Printemps/Automne","Darija Soussia","Festival Timitar;Aid Al Fitr;Aid Al Adha","Tapis berbères;Poterie;Bijoux argent","Gnawa;Musique berbère","Plage;Surf;Marchés","https://tse4.mm.bing.net/th/id/OIP.68EKhdygN_yRZ3hv3uzlagHaE8?cb=defcache2&defcache=1&rs=1&pid=ImgDetMain&o=7&rm=3"
Tanger,4500,"Kasbah;Caves d'Hercule;Cap Spartel;Grand Socco;Médina","El Morocco Club;Le Saveur du Poisson;Dar Nour","Poisson;Tajine","Visiter médina tôt pour éviter foule","2-3 jours","Printemps/Automne","Darija Tangeroise","Festival Tanger;Aid Al Fitr;Aid Al Adha","Tapis;Poterie;Bijoux;Cuir","Chaabi;Andalouse","Corniche;Poisson frais;Cafés","https://th.bing.com/th/id/OIP.xzffIxXc8EZj2k6wGPAOGQHaEo?w=244&h=180&c=7&r=0&o=7&cb=defcache2&dpr=1.3&pid=1.7&rm=3&defcache=1"
Essaouira,4500,"Skala;Plage;Médina;Port;Galeries d’art","La Table by Madada;Taros;Ocean Vagabond","Poissons;Tajine poisson;Couscous","Profiter plage et médina, goûter fruits de mer","2-3 jours","Printemps/Automne","Darija locale","Festival Gnaoua;Aid Al Fitr;Aid Al Adha","Argan;Tapis;Poterie;Bijoux","Gnaoua;Traditionnel marocain","Remparts;Shopping;Café culture","https://th.bing.com/th/id/OIP.EpiFLxmFZ-d1AHLKPRLDwAHaFr?w=262&h=201&c=7&r=0&o=7&cb=defcache2&dpr=1.3&pid=1.7&rm=3&defcache=1"
Meknès,3500,Bab Mansour;Mausolée Moulay Ismail;Médina;Heri es-Souani;Volubilis;Mellah,Riad Bahia;Collier de la Colombe;Restaurant Zitouna;Dar Sultana,Couscous Mekhnassi;Pastilla;Briouates;Seffa,"Visiter Volubilis en matinée, guide recommandé pour la médina",2-3 jours,Printemps/Automne,Darija Mekhnassia,Moussem Moulay Idriss;Aid Al Fitr;Aid Al Adha;Mawlid,Broderie;Poterie;Tapis;Fer forgé,Andalouse;Chaabi,Café culture;Promenades médina;Artisanat,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Bab_Mansour%2C_Mekn%C3%A8s%2C_Maroc.jpg/1200px-Bab_Mansour%2C_Mekn%C3%A8s%2C_Maroc.jpg
Tétouan,3000,Médina UNESCO;Musée Archéologique;Place Hassan II;Mellah;Quartier espagnol;Plage Martil,El Reducto;Riad El Reducto;Restaurant Blanco Riad;Dar Sanaa,Briouates;Pinchitos;Tajine au safran;Gâteaux andalous,"La médina est inscrite UNESCO, guide local très enrichissant",2 jours,Printemps/Automne,Darija Tetouania,Festival International Musique Andalouse;Aid Al Fitr;Mawlid,Broderie;Zellige;Poterie;Bijoux,Andalouse;Musique hispano-mauresque,Promenades médina;Artisanat;Cafés,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Tetouan_Medina.jpg/1200px-Tetouan_Medina.jpg
El Jadida,3500,Cité Portugaise UNESCO;Citerne Portugaise;Plage El Jadida;Sidi Bouzid;Remparts,Restaurant de la Plage;La Portugaise;Dar Bouazza;Riad Porte Bleue,Poissons grillés;Fruits de mer;Couscous;Tajine poisson,"La citerne portugaise est un joyau caché, ne pas manquer",1-2 jours,Printemps/Été,Darija locale,Festival Meriem;Aid Al Fitr;Aid Al Adha,Poterie;Bijoux;Tapis;Broderie,Chaabi;Gnawa,Baignade;Promenades plage;Café culture,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Cistern_Portuguese_El_Jadida.jpg/1200px-Cistern_Portuguese_El_Jadida.jpg
Safi,2800,Poterie de Safi;Kechla;Médina;Mosquée Grande;Plage;Musée Céramique,Restaurant Souiri;La Poterie;Dar Safi;Restaurant du Port,Sardines fraîches;Poissons;Tajine poisson;Couscous,"Capitale de la poterie marocaine, visiter quartier des potiers",1-2 jours,Printemps/Automne,Darija locale,Festival Sardines;Aid Al Fitr;Aid Al Adha,Poterie;Céramique;Zellige;Tapis,Gnawa;Chaabi,Ateliers poterie;Port de pêche;Café culture,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Safi_Kechla.jpg/1200px-Safi_Kechla.jpg
Oujda,2500,Médina;Place du 16 Août;Parc Al Wifaq;Sidi Yahya;Musée;Bab Sidi Abdelwahab,Restaurant Oujdi;La Kasbah;Dar Souiri;Restaurant Central,Couscous;Merguez;Tajine;Brochettes,"Porte vers lAlgérie, ambiance unique franco-maghrébine",1-2 jours,Printemps/Automne,Darija Oujdia,Festival Rai;Aid Al Fitr;Aid Al Adha,Bijoux;Poterie;Tapis,Raï;Chaabi;Gnawa,Café culture;Marchés;Promenades,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Place_du_16_ao%C3%BBt_Oujda.jpg/1200px-Place_du_16_ao%C3%BBt_Oujda.jpg
Nador,2500,Lagune de Marchica;Plages;Médina;Mar Chica;Cap des Trois Fourches,Restaurant du Port;La Marina;Dar Nador;Café Marchica,Poissons;Fruits de mer;Tajine poisson;Couscous,"Lagune Marchica unique en Méditerranée, prévoir excursion bateau",1-2 jours,Printemps/Été,Tarifit (Rifain);Darija,Festival Marchica;Aid Al Fitr;Aid Al Adha,Poterie rifaine;Bijoux berbères;Tapis,Musique rifaine;Chaabi,Plages;Baignade;Promenades bord de mer,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Marchica_Lagoon.jpg/1200px-Marchica_Lagoon.jpg
Laâyoune,3000,Place Mechouar;Mosquée Moulay Abdel Aziz;Musée Regional;Corniche;Plage Foum El Oued,Restaurant Laâyoune;Dar Sahara;La Corniche;Café du Desert,Mechoui;Couscous;Poissons;Thé saharien,"Capitale du Sahara Marocain, ambiance authentique saharienne",2 jours,Automne/Hiver,Hassania;Darija,Festival Hassani;Aid Al Fitr;Aid Al Adha,Tapis hassanis;Bijoux sahraouis;Cuir,Musique hassanie;Gnawa,Thé saharien;Soirées musicales;Desert,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Laayoune_city.jpg/1200px-Laayoune_city.jpg
Dakhla,4000,Lagune Dakhla;Kitesurf;Plages;Péninsule;Baie des Dunes;Plage Arabie,LOasis;Dakhla Attitude;Villa Dakhla;Club Mistral Restaurant,Fruits de mer frais;Poissons;Homard;Couscous sahrarien,"Paradis mondial du kitesurf, réserver spots longtemps avant",3-5 jours,Automne/Hiver/Printemps,Hassania;Darija,Festival Dakhla;Aid Al Fitr;Aid Al Adha,Poterie;Bijoux sahraouis;Tapis,Musique hassanie;Gnawa,Kitesurf;Windsurf;Plages;Quad dunes,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Dakhla_lagoon.jpg/1200px-Dakhla_lagoon.jpg
Ifrane,3500,Parc National Ifrane;Lion en pierre;Lac Dayet Aoua;Forêt de Cèdres;Ski Michlifen;Université Al Akhawayn,Restaurant du Parc;Chalet du Lion;Brasserie Ifrane;Café des Cèdres,Fromage;Miel des cèdres;Truite;Agneau rôti,"La Suisse du Maroc, très froid en hiver, magnifique en toutes saisons",1-2 jours,Hiver pour neige;Printemps pour randonnée,Darija;Tamazight,Festival Neige;Aid Al Fitr;Aid Al Adha,Bois sculpté;Miel;Fromage artisanal,Musique berbère;Chaabi,Ski;Randonnées forêt;Observation faune,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Ifrane_city_Morocco.jpg/1200px-Ifrane_city_Morocco.jpg
Béni Mellal,2500,Cascades dOuzoud (proche);Kasbah Ras el-Ain;Source Ain Asserdoun;Forêt;Souk hebdomadaire,Restaurant Oued;Dar Beni Mellal;Café Central;La Source,Couscous berbère;Tajine;Miel des montagnes;Huile dargan,"Bonne base pour les Cascades dOuzoud, marché du lundi très animé",1-2 jours,Printemps/Automne,Tamazight;Darija,Festival Tamazight;Aid Al Fitr;Aid Al Adha,Tapis berbères;Poterie;Miel;Huile dargan,Musique berbère;Ahwach,Marchés;Randonnées;Agriculture,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Beni_Mellal_Kasbah.jpg/1200px-Beni_Mellal_Kasbah.jpg
Moulay Idriss,2000,Mausolée Moulay Idriss I;Vue panoramique;Médina circulaire;Zerhoun;Site Volubilis proche,Dar Zerhoune;Restaurant Baraka;Café Moulay;Riad local,Couscous;Tajine;Harira;Msemen,"Ville sacrée du Maroc, respecter les traditions, Volubilis à 5km",1 jour,Printemps/Automne,Darija Zerhouniya,Moussem Moulay Idriss;Aid Al Fitr;Aid Al Adha;Mawlid,Poterie;Bijoux;Tapis;Broderie,Musique soufie;Andalouse,Pèlerinage;Ziyarat;Marchés,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Moulay_Idriss_Zerhoun.jpg/1200px-Moulay_Idriss_Zerhoun.jpg
