âge,sexe,budget,marié,région_origine,type_destination
60,Femme,1473,Non,Egypte,Nature
47,Femme,2499,Non,Chine,Nature
73,Homme,9592,Oui,Liban,Ville
44,Femme,2962,Non,Mexique,Nature
32,Femme,1155,Non,Pologne,Nature
67,Homme,7051,Oui,Iran,Ville
39,Homme,13175,Oui,Turquie,Ville
40,Femme,1663,Oui,Arabie Saoudite,Nature
27,Femme,12010,Non,Corée du Sud,Ville
54,Femme,3290,Non,Colombie,Nature
23,Femme,1196,Non,Portugal,Nature
67,Femme,7053,Oui,Pakistan,Ville
27,Femme,3767,Non,Belgique,Nature
67,Homme,9129,Oui,Qatar,Ville
52,Homme,11486,Oui,Koweït,Ville
51,Femme,10396,Oui,Maroc,Ville
56,Femme,5572,Oui,Allemagne,Ville
61,Homme,7047,Oui,Pakistan,Ville
53,Homme,13050,Oui,Kenya,Ville
51,Homme,1562,Oui,Italie,Nature
22,Femme,3850,Non,Portugal,Nature
68,Femme,12091,Oui,Brésil,Ville
53,Femme,2262,Non,Royaume-Uni,Nature
31,Homme,1330,Oui,Pakistan,Nature
18,Homme,2575,Non,Canada,Nature
42,Femme,11550,Non,Algérie,Ville
18,Femme,2152,Non,Indonésie,Nature
61,Homme,9613,Non,Qatar,Ville
68,Femme,7999,Oui,Belgique,Ville
55,Femme,3186,Non,Nigeria,Nature
42,Homme,2488,Oui,Algérie,Nature
39,Femme,2181,Non,France,Nature
55,Femme,7794,Oui,Thaïlande,Ville
39,Femme,8565,Oui,Jordanie,Ville
52,Femme,8677,Oui,USA,Ville
42,Homme,2615,Oui,Suède,Nature
25,Homme,2129,Non,Côte d Ivoire,Nature
36,Femme,3261,Non,Malaysia,Nature
28,Femme,1832,Non,Emirats Arabes Unis,Nature
57,Femme,13813,Oui,Japon,Ville
40,Homme,5087,Oui,Liban,Ville
19,Homme,3347,Non,Russie,Nature
40,Homme,11558,Oui,Nigeria,Ville
39,Homme,1568,Non,Sénégal,Nature
27,Homme,14032,Non,Portugal,Ville
40,Femme,6027,Oui,Nigeria,Ville
22,Femme,5193,Non,Mexique,Ville
20,Homme,1745,Non,Canada,Nature
31,Femme,3133,Non,Turquie,Nature
44,Femme,1848,Non,Royaume-Uni,Nature
30,Homme,6303,Non,France,Ville
27,Homme,13894,Non,Pérou,Ville
28,Homme,9269,Non,Brésil,Ville
37,Femme,12731,Oui,Algérie,Ville
41,Femme,7060,Oui,Argentine,Ville
22,Femme,1421,Non,Emirats Arabes Unis,Nature
22,Homme,10927,Non,Belgique,Ville
28,Femme,9591,Oui,Pérou,Ville
31,Femme,7270,Oui,Arabie Saoudite,Ville
40,Femme,12801,Oui,Mexique,Ville
25,Femme,14394,Oui,Nigeria,Ville
40,Femme,1476,Non,Indonésie,Nature
20,Femme,2714,Non,Portugal,Nature
31,Homme,2484,Non,Royaume-Uni,Nature
38,Homme,3396,Non,Mexique,Nature
44,Homme,4573,Oui,Colombie,Ville
44,Homme,1894,Non,Espagne,Nature
48,Homme,7229,Oui,Koweït,Ville
69,Femme,5277,Oui,Algérie,Ville
75,Femme,11606,Oui,USA,Ville
74,Homme,11295,Oui,Finlande,Ville
21,Homme,1912,Non,Chine,Nature
41,Homme,3607,Non,Brésil,Nature
23,Femme,10731,Oui,Nigeria,Ville
48,Femme,8960,Oui,Nigeria,Ville
26,Homme,3603,Non,Arabie Saoudite,Nature
35,Homme,2520,Non,Espagne,Nature
55,Homme,3213,Oui,Egypte,Nature
47,Femme,4017,Non,Allemagne,Nature
33,Homme,2368,Non,Allemagne,Nature
24,Femme,1933,Non,Allemagne,Nature
46,Femme,4319,Oui,Brésil,Ville
35,Femme,1904,Oui,Italie,Nature
56,Femme,3777,Non,Norvège,Nature
74,Femme,6974,Oui,Afrique du Sud,Ville
40,Homme,5807,Oui,Allemagne,Ville
51,Homme,1379,Non,Belgique,Nature
47,Femme,8582,Oui,Canada,Ville
27,Homme,11360,Non,Inde,Ville
43,Homme,13961,Oui,Nigeria,Ville
53,Femme,3777,Oui,Italie,Nature
51,Homme,2526,Non,Pakistan,Nature
68,Femme,8087,Oui,Qatar,Ville
56,Homme,2892,Oui,Koweït,Nature
44,Homme,6707,Oui,Afrique du Sud,Ville
59,Femme,12690,Oui,Pérou,Ville
22,Femme,6807,Non,Danemark,Ville
56,Homme,9025,Non,France,Ville
36,Femme,11835,Oui,Canada,Ville
59,Homme,7341,Oui,Emirats Arabes Unis,Ville
22,Femme,1981,Non,Inde,Nature
19,Homme,3276,Non,Pologne,Nature
73,Homme,5782,Oui,Chine,Ville
23,Homme,1650,Non,Côte d Ivoire,Nature
36,Femme,12489,Oui,Belgique,Ville
46,Homme,3021,Non,Emirats Arabes Unis,Nature
44,Homme,2337,Oui,USA,Nature
33,Homme,9486,Oui,Pérou,Ville
36,Homme,13625,Oui,Kenya,Ville
56,Homme,2368,Oui,Koweït,Nature
65,Homme,6606,Oui,Inde,Ville
43,Homme,2832,Non,Turquie,Nature
33,Femme,6244,Oui,Belgique,Ville
35,Homme,13799,Oui,Turquie,Ville
68,Femme,12046,Oui,Brésil,Ville
58,Homme,2788,Non,Afrique du Sud,Nature
71,Homme,10696,Oui,Russie,Ville
49,Femme,3135,Non,Chine,Nature
29,Femme,2483,Non,Colombie,Nature
74,Homme,12993,Oui,Qatar,Ville
59,Homme,1538,Oui,Kenya,Nature
70,Femme,5703,Oui,Suisse,Ville
